Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.984521158129176,0.9832597070448733,0.9844040968342644,0.9838315691520297
Naive Bayes,0.9384187082405345,0.9388042203985932,0.9320297951582868,0.9354047424366312
SVM,0.9923162583518931,0.9923130677847659,0.9916201117318436,0.9919664687390849
Random Forest,0.9899777282850779,0.9868055555555556,0.99231843575419,0.9895543175487466
Decision Tree,0.9959910913140312,0.9969668688754083,0.9946461824953445,0.995805173619203
KNN,0.6430957683741648,0.9564853556485355,0.26606145251396646,0.4163176106355855
Gradient Boosting,0.9944320712694877,0.991890639481001,0.9965083798882681,0.9941941477008824
AdaBoost,0.9937639198218263,0.9905136510874595,0.9965083798882681,0.993501972615456
XGBoost,0.9971046770601336,0.9962807996280799,0.9976722532588455,0.9969760409397534
Passive Aggressive,0.9937639198218263,0.9921077065923862,0.99487895716946,0.9934913993491399
Extra Trees,0.9841870824053452,0.9757214841960604,0.9916201117318436,0.9836065573770492
